Country,Sub Region 1,Sub Region 2,Country_Code,female_unpaid_domestic_work,male_unpaid_domestic_work,Wife_decision_health,Wife_decision_household_purchase,Women_in_food_decision,death_injury_15_34_female,death_injury_15_34_male,death_injury_35_59_female,death_injury_35_59_male,female_mortality_poisonning,male_mortality_poisonning,female_mortality_air_pollution,male_mortality_air_pollution,cooking_inside,cooking_outdoors,fuel_crops,fuel_charcoal,fuel_dung,fuel_electricity,fuel_gas,fuel_straw,fuel_wood,clean_fuel
Pakistan,South Asia,South Asia,PAK,1.81,19.86,11.1,7.8,,20.6,41.3,5.7,20.6,3.9,0.8,149,197,93.7,0.3,3.7,2.1,8,0,37.6,4.5,47.4,43.32
Palau,Pacific Islands,Micronesia,PLW,,,,,,,,,,,,,,,,,,,,,,,86.9
Panama,Latin America,Central America,PAN,6.25,13.82,,,,20,58.7,5.2,20,0.2,0.5,21,31,,,,,,,,,,89.01
Papua New Guinea,Pacific Islands,Melanesia,PNG,,,,,,19.1,42.1,5.2,19.1,0.7,2.6,125,184,,,,,,,,,,13.43
Paraguay,Latin America,South America,PRY,,,,,,32.3,64.9,7,32.3,0.3,0.4,49,66,,,,,,,,,,66.22
Peru,Latin America,South America,PER,22.57,8.4,61.9,25.8,90.3,28.7,54.4,9.2,28.7,0.6,1.2,55,74,78.4,3.5,0,1.1,3.2,0.8,62.1,0.5,27.7,75.06
Philippines,East Asia,East Asia,PHL,,,51.7,19.6,87.3,13.5,41.2,3.7,13.5,0.2,0.3,151,225,76.9,13.8,0.2,9.1,0,3.4,47.1,0.1,38.2,43.22
Poland,Eastern Europe,Eastern Europe,POL,18.33,9.93,,,,32.1,54.9,6.1,32.1,0.2,0.3,26,53,,,,,,,,,,100
Portugal,Western Europe,Western Europe,PRT,,,,,,22.5,43,7.6,22.5,0.2,0.3,7,13,,,,,,,,,,100
Qatar,Middle East,Arab States,QAT,13.82,7.64,,,,37.5,75.7,8.5,37.5,0.1,0.5,37,52,,,,,,,,,,98.49
Romania,Eastern Europe,Eastern Europe,ROM,,,,,,,,,,,,,,,,,,,,,,,
Russia,Eastern Europe,Eastern Europe,RUS,,,,,,31.9,48.7,10.2,31.9,0.8,2.7,33,73,,,,,,,,,,98.25
Rwanda,Africa (Sub-Saharan),East Africa,RWA,,,23.2,12.4,90.2,16,37.9,7.6,16,1.5,3.2,118,125,24.3,20.9,0.1,17,0,0.1,1.6,17.3,63.2,0.57
Samoa,Pacific Islands,Polynesia,WSM,,,,,,29.3,55.3,5.3,29.3,0.3,0.7,58,116,,,,,,,,,,32.29
San Marino,Western Europe,Western Europe,SMR,,,,,,,,,,,,,,,,,,,,,,,100
Sao Tome and Principe,Africa (Sub-Saharan),Central Africa,STP,,,32.2,24.4,,14.9,44.7,5.6,14.9,0.1,1.6,158,168,22.7,8.1,,8.1,,0,0.3,,63.6,16.81
Saudi Arabia,Middle East,Arab States,SAU,,,,,,43.4,76.6,17,43.4,0.5,0.8,72,93,,,,,,,,,,95.96
Senegal,Africa (Sub-Saharan),West Africa,SEN,,,6.6,4,58,15.2,39.8,7.3,15.2,1.6,3,152,172,65.9,6.7,0.4,18.9,1.5,1.3,27,44.6,47.7,31.65
Serbia,Eastern Europe,Eastern Europe,SER,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Eastern Europe,Eastern Europe,SRB,9.44,20.21,,,,25.7,47.4,5.3,25.7,0.2,0.4,47,82,,,,,,,,,,76.41
Seychelles,Africa (Sub-Saharan),East Africa,SYC,,,,,,19.1,45.4,6.6,19.1,0.5,0.7,31,70,,,,,,,,,,90.36
Sierra leone,Africa (Sub-Saharan),West Africa,SLE,,,8.1,7.5,,9.6,27.9,5.8,9.6,3.1,5.2,333,314,3.8,55,0,28.4,0,0.1,0.4,0.1,70.1,0.99
Singapore,East Asia,East Asia,SGP,,,,,,33,50.9,6.3,33,0.1,0.1,19,33,,,,,,,,,,100
Sint Maarten,Western Europe,Western Europe,SXM,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Eastern Europe,Eastern Europe,SVK,,,,,,27.9,52.5,8,27.9,0.3,0.5,24,47,,,,,,,,,,96.58
Slovenia,Eastern Europe,Eastern Europe,SVN,11.11,20.56,,,,32.6,59.8,7.9,32.6,0.2,0.4,17,29,,,,,,,,,,96.17
Solomon Is.,Pacific Islands,Melanesia,SLB,,,,,,28.1,51.6,5,28.1,0.4,1.4,116,158,,,,,,,,,,8.45
Somalia,North Africa,Arab States,SOM,,,,,,16.3,40.7,8.5,16.3,3.2,5.9,204,222,,,,,,,,,,2.34
South Africa,Africa (Sub-Saharan),South Africa,ZAF,6.74,15.9,,,,9,37,5.1,9,1.1,1.3,66,118,,,,,,,,,,84.75
South Sudan,Africa (Sub-Saharan),East Africa,SSD,,,,,,10.6,30,4.9,10.6,2.7,5.3,161,169,,,,,,,,,,0.64
Spain,Western Europe,Western Europe,ESP,18.96,8.61,,,,28.6,44.1,6.9,28.6,0.2,0.2,6,14,,,,,,,,,,100
Sri Lanka,South Asia,South Asia,LKA,,,,,,36.2,56.7,8.9,36.2,0.3,0.6,63,100,,,,,,,,,,26.33
